Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA00,11.961,Regular,0.034844,Frozen Foods,195.5789,OUT010,1998,,Tier 3,Grocery Store,456.8561
FDA00,11.961,Regular,0.030145,Frozen Foods,195.5789,OUT019,1985,Small,Tier 1,Grocery Store,596.7023
FDA00,11.961,Regular,0.028577,Frozen Foods,195.5789,OUT027,1985,Medium,Tier 3,Supermarket Type3,5310.3483
FDA00,11.961,Regular,0.03474,Frozen Foods,195.5789,OUT035,2004,Small,Tier 2,Supermarket Type1,3016.4485
FDA00,,Regular,0.024536,Frozen Foods,195.5789,OUT045,2002,,Tier 2,Supermarket Type1,2195.3582
FDA00,11.961,Regular,0.024266,Frozen Foods,195.5789,OUT046,1997,Small,Tier 1,Supermarket Type1,3113.5661
FDA00,11.961,Regular,0.027496,Frozen Foods,195.5789,OUT049,1999,Medium,Tier 1,Supermarket Type1,2884.0015
NCB01,,Regular,0.040267,Others,216.5112,OUT010,1998,,Tier 3,Grocery Store,737.3131
NCB01,,Regular,0.043724,Others,216.5112,OUT013,1987,High,Tier 3,Supermarket Type1,2669.5235
NCB01,,Regular,0.0,Others,216.5112,OUT017,2007,,Tier 2,Supermarket Type1,2264.8514
NCB01,,Regular,0.034673,Others,216.5112,OUT018,2009,Medium,Tier 3,Supermarket Type2,1658.1823
NCB01,21.086,Regular,0.025286,Others,216.5112,OUT019,1985,Small,Tier 1,Grocery Store,545.0781
NCB01,21.086,Regular,0.0,Others,216.5112,OUT027,1985,Medium,Tier 3,Supermarket Type3,3159.5752
NCB01,21.086,Regular,0.034125,Others,216.5112,OUT045,2002,,Tier 2,Supermarket Type1,2665.9609
NCB01,21.086,Regular,0.029404,Others,216.5112,OUT046,1997,Small,Tier 1,Supermarket Type1,2257.0921
NCB01,,Regular,0.028742,Others,216.5112,OUT049,1999,Medium,Tier 1,Supermarket Type1,3746.4765
NCC02,,LF,0.187437,Household,182.9522,OUT010,1998,,Tier 3,Grocery Store,387.5724
NCC02,,LF,0.117351,Household,182.9522,OUT013,1987,High,Tier 3,Supermarket Type1,1520.8515
NCC02,10.804,LF,0.140542,Household,182.9522,OUT017,2007,,Tier 2,Supermarket Type1,2543.393
NCC02,10.804,LF,0.178212,Household,182.9522,OUT019,1985,Small,Tier 1,Grocery Store,719.4309
NCC02,10.804,LF,0.16178,Household,182.9522,OUT035,2004,Small,Tier 2,Supermarket Type1,3265.0556
NCC02,10.804,LF,0.148202,Household,182.9522,OUT045,2002,,Tier 2,Supermarket Type1,2562.6735
NCC02,10.804,LF,0.148126,Household,182.9522,OUT046,1997,Small,Tier 1,Supermarket Type1,1518.201
NCD03,12.038,LF,0.024888,Household,161.882,OUT013,1987,High,Tier 3,Supermarket Type1,1808.4699
NCD03,12.038,LF,0.017161,Household,161.882,OUT017,2007,,Tier 2,Supermarket Type1,2417.0527
NCD03,12.038,LF,0.0,Household,161.882,OUT018,2009,Medium,Tier 3,Supermarket Type2,1189.7061
NCD03,12.038,LF,0.017172,Household,161.882,OUT019,1985,Small,Tier 1,Grocery Store,680.0583
NCD03,12.038,LF,0.0,Household,161.882,OUT027,1985,Medium,Tier 3,Supermarket Type3,3612.0863
NCD03,12.038,LF,0.0,Household,161.882,OUT035,2004,Small,Tier 2,Supermarket Type1,2259.4094
NCD03,12.038,LF,0.018855,Household,161.882,OUT045,2002,,Tier 2,Supermarket Type1,2191.139
NCD03,12.038,LF,0.025122,Household,161.882,OUT046,1997,Small,Tier 1,Supermarket Type1,2522.8051
NCD03,12.038,LF,0.0,Household,161.882,OUT049,1999,Medium,Tier 1,Supermarket Type1,2583.6829
NCE04,15.238,Regular,0.147077,Household,114.6681,OUT010,1998,,Tier 3,Grocery Store,342.573
NCE04,15.238,Regular,0.15692,Household,114.6681,OUT017,2007,,Tier 2,Supermarket Type1,1902.3241
NCE04,15.238,Regular,0.221672,Household,114.6681,OUT019,1985,Small,Tier 1,Grocery Store,337.9993
NCE04,,Regular,0.221397,Household,114.6681,OUT027,1985,Medium,Tier 3,Supermarket Type3,2513.4033
NCE04,15.238,Regular,0.23708,Household,114.6681,OUT035,2004,Small,Tier 2,Supermarket Type1,1031.8552
NCE04,15.238,Regular,0.138802,Household,114.6681,OUT045,2002,,Tier 2,Supermarket Type1,1349.8094
NCE04,15.238,Regular,0.18214,Household,114.6681,OUT046,1997,Small,Tier 1,Supermarket Type1,1615.3767
NCE04,15.238,Regular,0.206306,Household,114.6681,OUT049,1999,Medium,Tier 1,Supermarket Type1,1453.579
DRF05,19.683,Regular,0.092407,Hard Drinks,76.9347,OUT010,1998,,Tier 3,Grocery Store,185.1956
DRF05,19.683,Regular,0.12561,Hard Drinks,76.9347,OUT013,1987,High,Tier 3,Supermarket Type1,691.5849
DRF05,19.683,Regular,0.08554,Hard Drinks,76.9347,OUT017,2007,,Tier 2,Supermarket Type1,758.3962
DRF05,19.683,Regular,0.0,Hard Drinks,76.9347,OUT018,2009,Medium,Tier 3,Supermarket Type2,887.3204
DRF05,19.683,Regular,0.098411,Hard Drinks,76.9347,OUT019,1985,Small,Tier 1,Grocery Store,202.4222
DRF05,19.683,Regular,0.120981,Hard Drinks,76.9347,OUT027,1985,Medium,Tier 3,Supermarket Type3,2196.724
DRF05,19.683,Regular,0.073326,Hard Drinks,76.9347,OUT035,2004,Small,Tier 2,Supermarket Type1,849.718
DRF05,19.683,Regular,0.10559,Hard Drinks,76.9347,OUT046,1997,Small,Tier 1,Supermarket Type1,742.6594
FDG06,7.123,Low Fat,0.203622,Meat,206.7639,OUT010,1998,,Tier 3,Grocery Store,566.5501
FDG06,7.123,Low Fat,0.224066,Meat,206.7639,OUT013,1987,High,Tier 3,Supermarket Type1,2081.7269
FDG06,7.123,Low Fat,0.147354,Meat,206.7639,OUT018,2009,Medium,Tier 3,Supermarket Type2,3063.8909
FDG06,7.123,Low Fat,0.187996,Meat,206.7639,OUT019,1985,Small,Tier 1,Grocery Store,780.6605
FDG06,7.123,Low Fat,0.175141,Meat,206.7639,OUT027,1985,Medium,Tier 3,Supermarket Type3,3468.3615
FDG06,7.123,Low Fat,0.238948,Meat,206.7639,OUT045,2002,,Tier 2,Supermarket Type1,2724.4484
FDG06,,Low Fat,0.19808,Meat,206.7639,OUT046,1997,Small,Tier 1,Supermarket Type1,1926.5326
FDG06,7.123,Low Fat,0.191737,Meat,206.7639,OUT049,1999,Medium,Tier 1,Supermarket Type1,1992.3291
DRH07,10.039,reg,0.041074,Soft Drinks,141.8152,OUT019,1985,Small,Tier 1,Grocery Store,448.4956
DRH07,10.039,reg,0.037367,Soft Drinks,141.8152,OUT027,1985,Medium,Tier 3,Supermarket Type3,3672.0105
DRH07,,reg,0.036419,Soft Drinks,141.8152,OUT035,2004,Small,Tier 2,Supermarket Type1,1618.6604
